features,r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U
2,0.9418346396852448,0.8019753429224463,0.75,1,0,0.5,1,0.5,2
5,0.8530599588938428,0.436288027315018,0.75,1,2,0.0,1,0.0,2
10,0.7445892982555193,0.564345823683969,0.75,0,0,0.0,1,0.5,2
5,0.8802029798612242,0.42622703274710966,0.75,0,2,0.5,1,0.5,2
10,0.9560115781095971,0.7680848298805603,0.75,0,2,0.5,1,0.5,2
10,0.7370212680130244,0.5499186471594932,0.75,3,2,0.0,1,0.5,2
10,0.952557615568523,-1.4065184756623048,0.25,1,2,0.0,1,0.5,2
5,0.9128108259188996,0.8360423484328917,0.75,1,1,0.5,1,0.5,2
5,0.92787568597818,0.8998033474631594,0.75,3,0,0.5,1,0.5,2
10,0.9013450243264716,0.7690607285799314,0.75,1,2,0.5,1,0.5,2
5,0.8592507873865418,0.9533418968218477,0.75,3,0,0.5,1,0.5,2
10,0.862520147511789,0.8147590714923063,0.75,3,1,0.5,1,0.0,2
10,0.8337016606933303,0.7023592145028248,0.5,0,0,0.0,1,0.5,2
2,0.8553041473299305,0.4973759151696687,0.25,1,1,0.5,1,0.5,2
10,0.8322801014811576,0.7514215560633626,0.75,3,1,0.5,1,0.5,2
5,0.8069154566583769,0.6168659643614836,0.5,1,0,0.0,1,0.0,2
10,0.830928730559201,0.19584484870533203,0.75,1,0,0.0,1,0.0,2
5,0.7088416190267035,0.023622311273294505,0.25,1,1,0.0,1,0.0,2
5,0.7592018918109794,0.3531908638030903,0.75,1,2,0.0,1,0.5,2
10,0.7650434143227927,0.33972295668684205,0.5,3,1,0.0,1,0.0,2
2,0.902335068778896,0.7591881499449405,0.5,0,1,0.5,1,0.5,2
10,0.8410243316222741,-0.038778628955566885,0.25,3,0,0.5,1,0.0,2
5,0.8855119428993603,0.7509594654786578,0.25,0,2,0.0,1,0.5,2
10,0.8225785003991255,0.3670946863338292,0.5,3,2,0.0,1,0.5,2
2,0.9335475496983681,0.9561776499231238,0.25,0,1,0.5,1,0.5,2
2,0.9219117886593011,0.6285834238496525,0.25,0,0,0.0,1,0.5,2
10,0.7139675424844889,0.5533218190993684,0.5,3,0,0.5,1,0.0,2
10,0.8865012455232901,0.7223624180145848,0.5,0,2,0.5,1,0.5,2
10,0.7018682221029782,0.17658776475866778,0.75,3,2,0.0,1,0.0,2
5,0.8701914871439591,0.2577437944928286,0.75,1,0,0.5,1,0.5,2
10,0.8459703370774301,-0.27853454144739387,0.5,0,1,0.0,1,0.0,2
2,0.8693911637276646,0.7694523345688082,0.5,1,1,0.0,1,0.5,2
5,0.7253722787766415,0.39200877653873223,0.5,1,0,0.5,1,0.0,2
5,0.8663811627663489,0.526343914263339,0.75,3,0,0.5,1,0.0,2
5,0.8260247124714568,0.48195002227643724,0.5,0,2,0.5,1,0.0,2
5,0.7517819367891327,0.20181398323914018,0.5,1,0,0.5,1,0.0,2
5,0.8165291580811467,-14.69244811562182,0.5,3,1,0.0,1,0.0,2
10,0.7040599083387664,0.5173950813507937,0.75,0,2,0.0,1,0.0,2
10,0.7181477692942213,-0.18851916937062846,0.25,3,0,0.5,1,0.0,2
2,0.7909249120750059,-0.4663565843242909,0.75,1,1,0.0,1,0.5,2
2,0.8915172554673902,0.7609342569824908,0.25,0,0,0.5,1,0.5,2
5,0.8267613214940165,-2.092396740650482,0.5,0,1,0.0,1,0.5,2
2,0.7757575585975748,0.2757895202749113,0.25,0,0,0.0,1,0.0,2
5,0.7418862769885091,0.5128518029645521,0.5,0,1,0.5,1,0.0,2
5,0.7255633145114482,0.26116869936190545,0.75,0,2,0.0,1,0.5,2
10,0.6707408612585484,0.41366955314600246,0.25,3,0,0.0,1,0.0,2
5,0.8514179481457933,0.1088843537267456,0.25,1,0,0.5,1,0.5,2
10,0.747518661089569,0.07371140428706702,0.25,3,2,0.5,1,0.0,2
10,0.8539627684713457,0.679674858544564,0.75,3,1,0.5,1,0.5,2
5,0.9021369980622416,0.5559450493071745,0.25,0,0,0.5,1,0.5,2
5,0.7702734550189644,0.4858671646793048,0.25,0,1,0.5,1,0.0,2
5,0.7922101394926596,-0.03659437535664628,0.25,0,0,0.0,1,0.0,2
10,0.7387514660723586,0.46868815452356627,0.5,1,1,0.0,1,0.0,2
5,0.9152567223388101,0.8108024270719087,0.5,1,0,0.5,1,0.5,2
10,0.7856843287694534,0.473185036349976,0.5,1,0,0.5,1,0.0,2
5,0.864228094020286,0.781257665707086,0.5,3,2,0.5,1,0.5,2
10,0.9537942254331001,0.8407275898926883,0.5,1,2,0.5,1,0.5,2
5,0.7576135428370004,0.7265938937258101,0.75,1,2,0.5,1,0.5,2
10,0.713077841047641,0.09437982961355867,0.25,0,1,0.0,1,0.0,2
10,0.7860482931272734,0.6129826759856989,0.75,1,1,0.5,1,0.5,2
10,0.8503663175785163,-0.16353919517400933,0.75,1,2,0.0,1,0.5,2
5,0.851622408797251,0.5958680604360844,0.25,1,0,0.5,1,0.5,2
10,0.9101278365781879,0.9278222964837634,0.5,0,1,0.5,1,0.5,2
5,0.9079521216458388,0.7732629465906247,0.25,1,0,0.5,1,0.5,2
5,0.8867538147817353,0.6874729460953966,0.25,1,1,0.0,1,0.5,2
2,0.7557892760960601,0.28988041258048936,0.75,0,0,0.0,1,0.5,2
2,0.8430110079587125,0.7195444455319682,0.5,1,1,0.5,1,0.5,2
5,0.9450667364418267,0.9369688313416062,0.75,1,0,0.5,1,0.5,2
5,0.9138815208688317,0.7639076170670902,0.75,0,1,0.5,1,0.5,2
5,0.8977370040418262,0.8287221196831989,0.5,1,1,0.5,1,0.5,2
10,0.7880679942752874,0.5545859668896428,0.25,0,0,0.5,1,0.0,2
10,0.8853362815530946,0.8481960449126466,0.75,0,0,0.5,1,0.5,2
10,0.8997339849270545,0.7856221677176061,0.75,3,0,0.5,1,0.5,2
2,0.8336250675154037,0.829705275494401,0.5,1,1,0.5,1,0.5,2
5,0.8568879171790262,0.7032715613297276,0.75,1,0,0.5,1,0.5,2
5,0.8707027050894425,0.778306758864225,0.25,1,1,0.5,1,0.5,2
10,0.8232624363724677,0.4112553149650706,0.75,3,1,0.5,1,0.0,2
5,0.8897849152995936,-0.6380882026002515,0.75,3,0,0.5,1,0.5,2
5,0.8515315833537407,0.6531179938253238,0.75,1,1,0.5,1,0.5,2
10,0.9105569742280069,0.7542511779971275,0.25,1,1,0.5,1,0.5,2
2,0.809866529393685,0.5551033197931623,0.75,0,1,0.0,1,0.5,2
2,0.8284692413143575,0.6357210143787523,0.75,1,0,0.5,1,0.0,2
5,0.9024251638674101,0.790765137098713,0.25,0,0,0.5,1,0.5,2
5,0.871589997679595,0.2368317537803843,0.75,0,2,0.5,1,0.0,2
5,0.7329717689756144,0.07600642226195098,0.5,3,2,0.0,1,0.0,2
5,0.7750812222304763,-6.149554446853482,0.25,0,0,0.0,1,0.0,2
10,0.9278588924070941,0.80980528498625,0.25,1,1,0.5,1,0.5,2
5,0.7513252272616697,0.02665653891019787,0.5,3,0,0.5,1,0.0,2
5,0.7644044683362377,0.0900353586596051,0.5,0,2,0.0,1,0.0,2
2,0.9387790923054666,0.7022647454013433,0.75,1,1,0.5,1,0.0,2
5,0.8118204552004926,0.7165363477872853,0.25,3,2,0.5,1,0.0,2
5,0.9373354365390494,0.8841857386050396,0.75,1,1,0.5,1,0.5,2
5,0.8171158361192499,0.5835339612331504,0.75,1,2,0.5,1,0.0,2
5,0.9039419867857064,0.5360816187677461,0.25,3,2,0.5,1,0.5,2
10,0.7956105042956456,-0.44661621741622054,0.75,0,1,0.0,1,0.5,2
10,0.9438327377196372,-0.08363229424882856,0.75,0,0,0.5,1,0.0,2
5,0.6269342548147525,0.42032199411732646,0.5,1,0,0.0,1,0.0,2
10,0.8770328441660786,0.8649406326935865,0.75,1,1,0.5,1,0.5,2
5,0.8677015535974832,0.7362253547057106,0.75,0,2,0.5,1,0.5,2
5,0.7618476741069327,0.6003971647881594,0.75,3,0,0.5,1,0.5,2
